main_page_link,isAssured,car_name,model,brand,location,seller_type,selling_location,transmission_type,km_driven,variant,selling_price
https://www.cardekho.com/used-car-details/used-Maruti-Eeco-5-Seater-Ac-cars-Agra_73cb7bd2-5fbb-4669-bcbf-f7c52abdda97.htm,False,Maruti Eeco 5 Seater AC,Maruti,5 Seater AC,Agra,Individual,,Manual,"5,000",Petrol,490000.0
https://www.cardekho.com/used-car-details/used-Maruti-Omni-Lpg-Std-Bsiv-cars-Agra_5aaf26b3-2917-4d35-b397-135e2377987d.htm,False,Maruti Omni LPG STD BSIV,Maruti,LPG STD BSIV,Agra,Individual,,Manual,"1,10,000",LPG,90000.0
https://www.cardekho.com/used-car-details/used-Maruti-Alto-800-Lxi-cars-Agra_aaf34ff0-c321-4c27-85e1-3990b7b052b0.htm,False,Maruti Alto 800 LXI,Maruti,LXI,Agra,Individual,,Manual,"5,000",Petrol,313120.0
https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vxi-cars-Agra_83959f80-9175-48a7-9b5b-99749557a822.htm,False,Maruti Vitara Brezza VXI,Maruti,VXI,Agra,Individual,,Manual,"10,000",Petrol,850000.0
https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Zdi-Plus-Dual-Tone-cars-Agra_e5e31a8b-d13b-4202-a12b-c9a47336f7e4.htm,False,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,ZDi Plus Dual Tone,Agra,Individual,,Manual,"40,000",Diesel,825000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-At-Asta-cars-Agra_8d75052d-3efb-413b-a0be-28be3f76ca31.htm,False,Hyundai Grand i10 AT Asta,Hyundai,AT Asta,Agra,Individual,,Automatic,"15,000",Petrol,270132.0
https://www.cardekho.com/used-car-details/used-Mahindra-Tuv-300-Mhawk100-T8-Dual-Tone-cars-Agra_ca2927a9-abcf-4df6-ad76-cf9518e973a2.htm,False,Mahindra TUV 300 mHAWK100 T8 Dual Tone,Mahindra,mHAWK100 T8 Dual Tone,Agra,Individual,,Manual,"60,000",Diesel,710000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-W11-Option-cars-Agra_843f0e6d-5861-40c5-93af-97983d929df0.htm,False,Mahindra XUV500 W11 Option,Mahindra,W11 Option,Agra,Individual,,Manual,"10,000",Diesel,1850000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Tuv-300-Mhawk100-T8-Dual-Tone-cars-Agra_991901fc-5351-4268-8e25-93de551b9685.htm,False,Mahindra TUV 300 mHAWK100 T8 Dual Tone,Mahindra,mHAWK100 T8 Dual Tone,Agra,Individual,,Manual,"60,000",Diesel,700000.0
https://www.cardekho.com/used-car-details/used-Renault-Kwid-1.0-Rxt-Optional-cars-Agra_d82ede2f-3ee5-42f4-a7d5-e97a73c0a6df.htm,False,Renault KWID 1.0 RXT Optional,Renault,1.0 RXT Optional,Agra,Individual,,Manual,"60,000",Petrol,270000.0
https://www.cardekho.com/used-car-details/used-Skoda-Fabia-1.2-Mpi-Classic-cars-Agra_6e99533d-8857-4caa-b24d-153bda0dc6b9.htm,False,Skoda Fabia 1.2 MPI Classic,Skoda,1.2 MPI Classic,Agra,Individual,,Manual,"1,10,000",Petrol,124900.0
https://www.cardekho.com/used-car-details/used-Maruti-Ignis-1.2-Sigma-Bsiv-cars-Agra_b4de1e31-17b3-405a-8bb3-11975485bc98.htm,False,Maruti Ignis 1.2 Sigma BSIV,Maruti,1.2 Sigma BSIV,Agra,Individual,,Manual,"10,000",Petrol,470000.0
https://www.cardekho.com/used-car-details/used-Datsun-Go-Plus-A-Eps-cars-Agra_fa2dd338-efd9-4ceb-8dac-8bc1e98f751f.htm,False,Datsun GO Plus A EPS,Datsun,A EPS,Agra,Individual,,Manual,"15,000",Petrol,370000.0
https://www.cardekho.com/used-car-details/used-Maruti-Alto-800-Lxi-cars-Agra_03c3bd39-dcb3-4c65-9890-cf6178281c95.htm,False,Maruti Alto 800 LXI,Maruti,LXI,Agra,Individual,,Manual,"25,000",Petrol,239000.0
https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-Vxi-cars-Agra_e8c4941e-7979-4650-bf96-5431257432e4.htm,False,Maruti Alto K10 VXI,Maruti,VXI,Agra,Individual,,Manual,"30,000",Petrol,310000.0
https://www.cardekho.com/used-car-details/used-Renault-Duster-110ps-Diesel-Rxz-Optional-With-Nav-cars-Agra_8bf58cea-1089-4dac-896d-56e849df97f1.htm,False,Renault Duster 110PS Diesel RXZ Optional with Nav,Renault,110PS Diesel RXZ Optional with Nav,Agra,Individual,,Manual,"90,000",Diesel,400000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Magna-cars-Agra_e048c66a-6e52-47e8-968f-d2784e5ab20e.htm,False,Hyundai Grand i10 Magna,Hyundai,Magna,Agra,Individual,,Manual,"50,000",Petrol,250000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I20-Magna-1.4-Crdi-(diesel)-cars-Agra_0665997d-e38a-478a-a5f3-b9299cf37f1b.htm,False,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,Magna 1.4 CRDi (Diesel),Agra,Individual,,Manual,"1,20,000",Diesel,260000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-Bsiv-cars-Agra_b6faea72-cba8-4173-8cf6-f7b2d4840151.htm,False,Maruti Swift VDI BSIV,Maruti,VDI BSIV,Agra,Individual,,Manual,"60,000",Diesel,455000.0
https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Dv5-Mt-Titanium-cars-Agra_12e1dadf-838f-46ae-a3fe-df3f25867da1.htm,False,Ford Ecosport 1.5 DV5 MT Titanium,Ford,1.5 DV5 MT Titanium,Agra,Individual,,Manual,"1,00,000",Diesel,330000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Bolero-Power-Plus-Zlx-cars-Agra_76c957a8-924e-46f6-ac40-b475135676c5.htm,False,Mahindra Bolero Power Plus ZLX,Mahindra,ZLX,Agra,Individual,,Manual,"50,000",Diesel,630000.0
https://www.cardekho.com/used-car-details/used-Renault-Kiger-Rxz-Turbo-Cvt-Dt-cars-Agra_3c126a15-2665-4dcf-9f20-d82a0bd43525.htm,False,Renault Kiger RXZ Turbo CVT DT,Renault,RXZ Turbo CVT DT,Agra,Individual,,Automatic,"10,000",Petrol,1000000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Ldi-Optional-cars-Agra_0c017f82-9eda-4e77-8799-de84e5bc42c4.htm,False,Maruti Swift Dzire LDI Optional,Maruti,LDI Optional,Agra,Individual,,Manual,"70,000",Diesel,385000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I20-Sportz-1.4-Crdi-cars-Agra_5750b3a3-19ef-47b6-88c4-3751891de22f.htm,False,Hyundai i20 Sportz 1.4 CRDi,Hyundai,Sportz 1.4 CRDi,Agra,Individual,,Manual,"60,000",Diesel,575000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-Optional-cars-Agra_301f5b96-9ca1-4e37-96cb-572497ce7ccd.htm,False,Maruti Swift VXI Optional,Maruti,VXI Optional,Agra,Individual,,Manual,"30,000",Petrol,420000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-Bsiii-cars-Agra_da34846c-8f2b-4f76-a58b-64fa5c4c184c.htm,False,Maruti Swift VXI BSIII,Maruti,VXI BSIII,Agra,Individual,,Manual,"1,20,000",Petrol,110000.0
https://www.cardekho.com/used-car-details/used-Tata-Indica-Lei-cars-Agra_29b8dfbd-4762-4b6e-b6e3-d64c858553da.htm,False,Tata Indica Lei,Tata,Lei,Agra,Individual,,Manual,"80,000",Petrol,60000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I10-Magna-1.1l-cars-Agra_af0420e3-e06e-46fd-a249-27ad877fe456.htm,False,Hyundai i10 Magna 1.1L,Hyundai,Magna 1.1L,Agra,Individual,,Manual,"1,20,000",Petrol,140000.0
https://www.cardekho.com/used-car-details/used-Maruti-Alto-Lx-cars-Agra_a9f4a091-92d2-4fef-8c76-69a00812de7f.htm,False,Maruti Alto LX,Maruti,LX,Agra,Individual,,Manual,"1,00,000",Petrol,110000.0
